id,stop_id,stop_name
1,65400,Tortosa
2,65401,Camp-Redo
3,65402,L'aldea-Amposta-Tortosa
4,65403,Camarles-Deltebre
5,65404,L'ampolla-El Perello-Deltebre
6,65405,L'ametlla De Mar
7,65407,L'hospitalet De L'infant
8,65409,Cambrils
9,65411,Salou - Port Aventura
10,65420,L'hospitalet De L'infant
11,65422,Cambrils
12,71208,Faio-La Pobla De Massaluca (fayon)
13,71209,Riba-Roja D'ebre
14,71210,Flix
15,71211,Ascó
16,71300,Mora La Nova
17,71301,Els Guiamets
18,71302,Capçanes
19,71303,Marça-Falset
20,71304,Pradell De La Teixeta
21,71305,Duesaigues-L'argentera
22,71306,Riudecanyes-Botarell
23,71307,Les Borges Del Camp
24,71400,Reus
25,71401,Vila-Seca
26,71500,Tarragona
27,71502,Altafulla-Tamarit
28,71503,Torredembarra
29,71600,Sant Vicenç De Calders
30,71601,Calafell
31,71602,Segur De Calafell
32,71603,Cunit
33,71604,Cubelles
34,71700,Vilanova I La Geltru
35,71701,Sitges
36,71703,Garraf (apt)
37,71704,Platja De Castelldefels
38,71705,Castelldefels
39,71706,Gava
40,71707,El Prat De Llobregat
41,71708,Bellvitge
42,71709,Viladecans
43,71801,Barcelona-Sants
44,71802,Barcelona-Passeig De Gracia
45,72100,Roda De Bara
46,72101,Roda De Mar
47,72201,El Vendrell
48,72202,L'arboc
49,72203,Els Monjos
50,72204,Vilafranca Del Penedes
51,72205,La Granada
52,72206,Lavern-Subirats (apd)
53,72207,Sant Sadurni D'anoia
54,72208,Gelida (apd)
55,72209,Martorell
56,72210,Castellbisbal
57,72211,El Papiol (apd)
58,72300,Molins De Rei
59,72301,Sant Feliu De Llobregat
60,72302,Sant Joan Despi (apd)
61,72303,Cornella
62,72305,L'hospitalet De Llobregat
63,72400,El Prat Aeroport
64,72501,Rubi
65,72502,Sant Cugat
66,72503,Cerdanyola Universiti
67,73001,Puigverd De Lleida-Artesa De Lleida
68,73002,Juneda
69,73003,Les Borges Blanques
70,73004,La Floresta
71,73005,Vinaixa
72,73006,Vimbodi I Poblet
73,73007,L'espluga De Francoli
74,73008,Montblanc
75,73009,Vilaverd
76,73010,La Riba
77,73100,La Plana-Picamoixons
78,73101,Alcover
79,73102,La Selva Del Camp
80,75101,Alcoletge
81,75102,Vilanova De La Barca
82,75103,Termens
83,75104,Vallfogona De Balaguer
84,75105,Balaguer
85,75106,Gerb
86,75107,Sant Llorenç De Montgai
87,75108,Vilanova De La Sal
88,75109,Santa LiÑa
89,75110,Ager
90,75111,Cellers-Llimiana
91,75112,Guardia De Tremp
92,75113,Palau-Puigcercos
93,75114,Tremp
94,75115,Salas De Pallars
95,75116,La Pobla De Segur
96,76001,Salomo
97,76002,Vilabella
98,76003,Nulles-Brafim
99,76004,Valls
100,77002,Montcada-Ripollet
101,77003,Santa Perpetua De Mogoda
102,77004,Mollet-Santa Rosa
103,77005,Parets Del Valles
104,77006,Granollers-Canovelles
105,77100,Les Franqueses Del Valles
106,77102,La Garriga
107,77103,Figaró
108,77104,Sant  Marti De Centelles
109,77105,Centelles
110,77106,Els Hostalets De Balenya
111,77107,Balenya
112,77109,Vic
113,77110,Manlleu
114,77111,Torello
115,77112,Borgonya (apd)
116,77113,Sant Quirze De Besora-Montesquiu
117,77114,La Farga De Bebie
118,77200,Ripoll
119,77301,Campdevanol
120,77303,Ribes De Freser
121,77304,Planoles (apt)
122,77305,Toses (apt)
123,77306,La Molina
124,77307,Urtx-Alp (apt)
125,77309,Puigcerda
126,77310,La Tour De Carol
127,78005,Villanueva De Gallego
128,78100,Zuera
129,78200,Tardienta
130,78201,GraÑen
131,78202,Marcen-PoleÑino
132,78203,SariÑena
133,78300,Selgua
134,78301,Monzon-Rio Cinca
135,78302,Binefar
136,78400,Lleida
137,78402,Bell-Lloc D'urgell
138,78403,Mollerussa
139,78404,Golmes
140,78405,Castellnou De Seana
141,78406,Bellpuig
142,78407,Anglesola
143,78408,Tarrega
144,78500,Cervera
145,78501,Sant Guim De Freixenet
146,78502,Sant Marti Sesgueioles
147,78503,Calaf
148,78504,Seguers-Sant Pere Sallavinera
149,78505,Aguilar De Segarra
150,78506,Rajadell
151,78600,Manresa
152,78604,Sant Vicenç De Castellet
153,78605,Castellbell I El Vilar-Monistrol Monts
154,78606,Vacarisses
155,78607,Vacarisses-Torreblanca
156,78609,Viladecavalls
157,78610,Sant Miquel De Gonteres
158,78700,Terrassa
159,78703,Sabadell Sud
160,78704,Sabadell Centre
161,78705,Barbera Del Valles
162,78706,Cerdanyola Del Valles
163,78707,Montcada I Reixac-Santa Maria
164,78708,Montcada I Reixac-Manresa
165,78709,Sabadell Nord
166,78710,Terrasa Est
167,78800,Montcada Bifurcacio
168,78801,Barcelona-Torre Del Baro
169,78802,Sant Andreu Arenal
170,78804,Barcelona-Arc De Triomf
171,78805,Barcelona-Plaça De Catalunya
172,78806,Barcelona La Sagrera Meridiana
173,79004,Barcelona-Sant Andreu Comtal
174,79005,Montcada I Reixac
175,79006,Mollet-Sant Fost
176,79007,Montmelo
177,79009,Barcelona-Clot-Arago
178,79011,Llagosta
179,79100,Granollers Centre
180,79101,Cardedeu
181,79102,Llinars Del Valles
182,79103,Palautordera (apd)
183,79104,Sant Celoni
184,79105,Gualba
185,79106,Riells I Viabrea-Breda
186,79107,Hostalric
187,79109,Les Franqueses-Granollers Nord
188,79200,Maçanet-Massanes
189,79202,Sils
190,79203,Caldes De Malavella
191,79204,Riudellots
192,79205,Fornells De La Selva
193,79300,Girona
194,79301,Celra
195,79302,Bordils-Juia
196,79303,Flaça
197,79304,Sant Jordi Desvalls
198,79305,Camallera
199,79306,Sant Miquel De Fluvia
200,79308,Vilamalla
201,79309,Figueres
202,79311,Vilajuiga
203,79312,Llançà
204,79314,Colera
205,79315,Portbou
206,79316,Cerbere
207,79400,Barcelona-Estacio De França
208,79403,Sant Adria De Besos (apd)
209,79404,Badalona
210,79405,Montgat
211,79406,Montgat-Nord (p)
212,79407,El Masnou
213,79408,Ocata (apd)
214,79409,Premia De Mar Apeadero
215,79410,Vilassar De Mar
216,79412,Cabrera Ma
217,79500,Mataro
218,79501,Sant Andreu De Llavaneres (apt)
219,79502,Caldes D'estrac
220,79600,Arenys De Mar
221,79601,Canet De Mar
222,79602,Sant Pol De Mar
223,79603,Calella
224,79604,Pineda De Mar
225,79605,Malgrat Del Mar
226,79606,Blanes
227,79607,Tordera
228,79608,Sta.susann
